conversation_id,slot0,slot1,slot2,slot3type,slot3
2109,Let's talk about politics.,I am soooo tired  of talking politics!,I know! It seems like you can't escape it. I haven't heard a thing on the radio that wasn't about politics in days.,Answer.Negative,"Yeah, well get used to it. Our current administration seems hell bent on starting some sort of class and/or racial war. They have begun blatantly extracting the wealth of the middle and lower classes classes and depositing it firmly in the pockets of the disgustingly rich. Furthermore, those in charge seem to have an open disdain for anyone that is not a white, christian, male. I'm not exactly optimistic about the near future of our nation."
2109,Let's talk about politics.,I am soooo tired  of talking politics!,I know! It seems like you can't escape it. I haven't heard a thing on the radio that wasn't about politics in days.,Answer.Positive,"Yeah, I think just about everyone is pretty burnt out on politics at the moment. Honestly, this may be the best thing that has ever happened to our democracy though. The number of citizens that are actively participating in politics must be at it's highest in decades. I think that we'll see the results of that participation manifest itself as a massive increase in government accountability."
2110,Let's talk about politics.,I am soooo tired  of talking politics!,Me too! I feel like we just keep saying the same things and nothing changes.,Answer.NonOpinion,Voting is the most direct way in which people can make positive political change.
2110,Let's talk about politics.,I am soooo tired  of talking politics!,Me too! I feel like we just keep saying the same things and nothing changes.,Answer.JokeSarcastic,"If talking about politics could change anything, it would only be legal for corporations!"
2111,Let's talk about politics.,I am soooo tired  of talking politics!,"Yeah, no kidding. There was this news about them building a new rec center downtown.",Answer.Negative,"Right, and I wonder how much that is going to cost the tax payers this year? Why can't we use the money for this this country actually needs?"
2111,Let's talk about politics.,I am soooo tired  of talking politics!,"Yeah, no kidding. There was this news about them building a new rec center downtown.",Answer.Positive,Hey that's actually really exciting. Our city could use a new resource like that and especially in such a central location. It will be so accessible to many people.
2112,Let's talk about politics.,I am soooo tired  of talking politics!,"What, you don't enjoy hearing every day about something new Trump did to ruin the country?",Answer.NonOpinion,I enjoy hearing about how new hospitals are being built and underprivileged children are getting scholarships to universities.
2112,Let's talk about politics.,I am soooo tired  of talking politics!,"What, you don't enjoy hearing every day about something new Trump did to ruin the country?",Answer.JokeSarcastic,That train wreck will always be there to watch. I can't believe that man hasn't been shot at yet.
2113,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I think it's so interesting how they took that slogan from the Reagan era.,Answer.Negative,"I found it quite boring to be honest, so over done, it is not my personal choice of slogans."
2113,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I think it's so interesting how they took that slogan from the Reagan era.,Answer.Positive,"Yeah, that kid is so clever and witty, that is the type of kid I would probably be friends with if I met him on the street."
