conversation_id,slot0,slot1,slot2,Dialog_act_slot0,Dialog_act_slot1,Dialog_act_slot2
conversation_id,slot0,slot1,slot2,,,
2109,Let's talk about politics.,I am soooo tired  of talking politics!,I know! It seems like you can't escape it. I haven't heard a thing on the radio that wasn't about politics in days.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2109,Let's talk about politics.,I am soooo tired  of talking politics!,I know! It seems like you can't escape it. I haven't heard a thing on the radio that wasn't about politics in days.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2110,Let's talk about politics.,I am soooo tired  of talking politics!,Me too! I feel like we just keep saying the same things and nothing changes.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2110,Let's talk about politics.,I am soooo tired  of talking politics!,Me too! I feel like we just keep saying the same things and nothing changes.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2111,Let's talk about politics.,I am soooo tired  of talking politics!,"Yeah, no kidding. There was this news about them building a new rec center downtown.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2111,Let's talk about politics.,I am soooo tired  of talking politics!,"Yeah, no kidding. There was this news about them building a new rec center downtown.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2112,Let's talk about politics.,I am soooo tired  of talking politics!,"What, you don't enjoy hearing every day about something new Trump did to ruin the country?",statement-non-opinion,statement-opinionNegative,whQuestion
2112,Let's talk about politics.,I am soooo tired  of talking politics!,"What, you don't enjoy hearing every day about something new Trump did to ruin the country?",statement-non-opinion,statement-opinionNegative,whQuestion
2113,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I think it's so interesting how they took that slogan from the Reagan era.,statement-non-opinion,statement-non-opinion,statement-opinionPositive
2113,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I think it's so interesting how they took that slogan from the Reagan era.,statement-non-opinion,statement-non-opinion,statement-opinionPositive
2114,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That shirt slogan works really well in a deli.  I wonder what other pun-filled slogans there are for other jobs.,statement-non-opinion,statement-non-opinion,statement-opinionPositive
2114,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That shirt slogan works really well in a deli.  I wonder what other pun-filled slogans there are for other jobs.,statement-non-opinion,statement-non-opinion,statement-opinionPositive
2115,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That's interesting.  Do you think he was political or just trying to be funny?,statement-non-opinion,statement-non-opinion,ynQuestion
2115,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,That's interesting.  Do you think he was political or just trying to be funny?,statement-non-opinion,statement-non-opinion,ynQuestion
2116,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I love the play on words.  Was he cutting the cheese?  Just kidding.  I think sloganed shirts can be a riot.,statement-non-opinion,statement-non-opinion,ynQuestion
2116,Let's talk about politics.,This one kid in the deli had a Make America GRATE again T-shirt on!,I love the play on words.  Was he cutting the cheese?  Just kidding.  I think sloganed shirts can be a riot.,statement-non-opinion,statement-non-opinion,ynQuestion
2117,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,It's a crazy situation. Firing the director of the FBI would be big news even if there wasn't an ongoing investigation.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2117,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,It's a crazy situation. Firing the director of the FBI would be big news even if there wasn't an ongoing investigation.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2118,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,I love how so many positions flipped. Some people who were saying last week that Comey was terrible and improperly inserted himself into the election are now freaking out that he got ousted. Do they hate the guy or love him?,statement-non-opinion,statement-opinionNegative,whQuestion
2118,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,I love how so many positions flipped. Some people who were saying last week that Comey was terrible and improperly inserted himself into the election are now freaking out that he got ousted. Do they hate the guy or love him?,statement-non-opinion,statement-opinionNegative,whQuestion
2119,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Eh, that's all just scandal stuff. Have you seen the new Republican tax proposal?",statement-non-opinion,statement-opinionNegative,ynQuestion
2119,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Eh, that's all just scandal stuff. Have you seen the new Republican tax proposal?",statement-non-opinion,statement-opinionNegative,ynQuestion
2120,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Well, all I know is that it takes a lot of heat off of me. Do svidaniya, Comey!",statement-non-opinion,statement-opinionNegative,statement-non-opinion
2120,Let's talk about politics.,Everyone I know is going crazy over the Comey Dismissal,"Well, all I know is that it takes a lot of heat off of me. Do svidaniya, Comey!",statement-non-opinion,statement-opinionNegative,statement-non-opinion
2121,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yes, it really does seem that given the surprising election results in 2016, more people are becoming actively involved in politics.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2121,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yes, it really does seem that given the surprising election results in 2016, more people are becoming actively involved in politics.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2122,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","I agree. I myself have been volunteering more for Democratic organizations, and have seen a drastic increase in how many are writing letters to their state representatives.",statement-non-opinion,statement-opinionNegative,statement-non-opinion
2122,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","I agree. I myself have been volunteering more for Democratic organizations, and have seen a drastic increase in how many are writing letters to their state representatives.",statement-non-opinion,statement-opinionNegative,statement-non-opinion
2123,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Speaking of Russia, have you heard about their efforts to regulate bitcoin? It's been in the news lately.",statement-non-opinion,statement-opinionNegative,ynQuestion
2123,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Speaking of Russia, have you heard about their efforts to regulate bitcoin? It's been in the news lately.",statement-non-opinion,statement-opinionNegative,ynQuestion
2124,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yeah, I'm SURE that writing to state representatives does SO MUCH, it's not like Russia FIXED the election or anything.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2124,Let's talk about politics.,"When I was at Whole Foods last night, there were more people watching MSNBC on their Lounge TV then were watching the game on Super Bowl Sunday!","Yeah, I'm SURE that writing to state representatives does SO MUCH, it's not like Russia FIXED the election or anything.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2125,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"they perform really poorly once they are re elected especially if its going to be their last term in office,they are of the idea that after all i am not re contesting so who cares.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2125,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"they perform really poorly once they are re elected especially if its going to be their last term in office,they are of the idea that after all i am not re contesting so who cares.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2126,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"it is the masses who get fooled by their sweet talk and later complain and protest for change i do feel pity for, using their tax deduction to pay someone who's just not doing their job.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2126,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"it is the masses who get fooled by their sweet talk and later complain and protest for change i do feel pity for, using their tax deduction to pay someone who's just not doing their job.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2127,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"i do not vote as to me its such a waste of time but this year i would cos i need to also have a say on who governs me, have you registered yet?",statement-non-opinion,statement-opinionNegative,ynQuestion
2127,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,"i do not vote as to me its such a waste of time but this year i would cos i need to also have a say on who governs me, have you registered yet?",statement-non-opinion,statement-opinionNegative,ynQuestion
2128,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,they be like 'please vote for me' and once their in they  like ' well thanks i would see you guys in the next four years for a third term',statement-non-opinion,statement-opinionNegative,statement-non-opinion
2128,Let's talk about politics.,Politicians only care about one thing - getting re-elected or moving to a higher office because they have such cushy jobs at taxpayer expense.,they be like 'please vote for me' and once their in they  like ' well thanks i would see you guys in the next four years for a third term',statement-non-opinion,statement-opinionNegative,statement-non-opinion
2129,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, but what are you going to to do, if everybody thinks you need to be a slick liar to be a politician then honest people won't even bother with it.",statement-non-opinion,whQuestion,statement-opinionNegative
2129,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, but what are you going to to do, if everybody thinks you need to be a slick liar to be a politician then honest people won't even bother with it.",statement-non-opinion,whQuestion,statement-opinionNegative
2130,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, they all do it. The trick now, though, is how do you tell when the news reporters are lying?",statement-non-opinion,whQuestion,ynQuestion
2130,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"Yeah, they all do it. The trick now, though, is how do you tell when the news reporters are lying?",statement-non-opinion,whQuestion,ynQuestion
2131,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,I think a lot of politicians use the George Costanza method: It's not a lie if you believe it.,statement-non-opinion,whQuestion,statement-non-opinion
2131,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,I think a lot of politicians use the George Costanza method: It's not a lie if you believe it.,statement-non-opinion,whQuestion,statement-non-opinion
2132,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"They know that people have figured that out, that's why they're moving to twitter now.",statement-non-opinion,whQuestion,statement-non-opinion
2132,Let's talk about politics.,You know how you can tell when a politician is lying? When his lips are moving.,"They know that people have figured that out, that's why they're moving to twitter now.",statement-non-opinion,whQuestion,statement-non-opinion
2133,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I used to be able to watch normal news without too much trouble, but it seems like now every story involves somebody being outraged about something somebody else did.",statement-non-opinion,statement-non-opinion,statement-opinionNegative
2133,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I used to be able to watch normal news without too much trouble, but it seems like now every story involves somebody being outraged about something somebody else did.",statement-non-opinion,statement-non-opinion,statement-opinionNegative
2134,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"Me too, but when I don't keep up to date it stresses me out to, I feel like I'm not being a good citizen.",statement-non-opinion,statement-non-opinion,statement-opinionVerynegative
2134,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"Me too, but when I don't keep up to date it stresses me out to, I feel like I'm not being a good citizen.",statement-non-opinion,statement-non-opinion,statement-opinionVerynegative
2135,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I've been trying to get more of my news on the internet, I feel like it's less produced and manipulative when I can consume things at my own pace.",statement-non-opinion,statement-non-opinion,statement-opinionNegative
2135,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,"I've been trying to get more of my news on the internet, I feel like it's less produced and manipulative when I can consume things at my own pace.",statement-non-opinion,statement-non-opinion,statement-opinionNegative
2136,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,The pharmaceutical companies probably pay them to make sure they get that result.,statement-non-opinion,statement-non-opinion,statement-opinionNegative
2136,Let's talk about politics.,politics makes my blood pressure go up when I watch the news,The pharmaceutical companies probably pay them to make sure they get that result.,statement-non-opinion,statement-non-opinion,statement-opinionNegative
2137,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,You're right.  They seemed terrified of what he would do to them with all his late night tweets.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2137,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,You're right.  They seemed terrified of what he would do to them with all his late night tweets.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2138,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,I agree.  They really did just fall in line when he won the election.  And many of them were able to get Cabinet jobs or special favors.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2138,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,I agree.  They really did just fall in line when he won the election.  And many of them were able to get Cabinet jobs or special favors.,statement-non-opinion,statement-opinionNegative,statement-non-opinion
2139,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,Right?  What about how Kelly Ann Conway deals with the media when talking about Trump?,statement-non-opinion,statement-opinionNegative,openQuestion
2139,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,Right?  What about how Kelly Ann Conway deals with the media when talking about Trump?,statement-non-opinion,statement-opinionNegative,openQuestion
2140,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,"Yea, they didn't want to be bumped off the way the Russians deal with their critics.",statement-non-opinion,statement-opinionNegative,statement-non-opinion
2140,Let's talk about politics.,Many of the politicians who were so critical of Trump during the campaign quickly fell in line when he won the election because they wanted to get a Cabinet job or at least stay on his good side,"Yea, they didn't want to be bumped off the way the Russians deal with their critics.",statement-non-opinion,statement-opinionNegative,statement-non-opinion
2141,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"Yes, it's very frustrating. It never seems to lead to anything but acrimony and recrimination.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2141,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"Yes, it's very frustrating. It never seems to lead to anything but acrimony and recrimination.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2142,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"It's true, I don't enjoy it either. But I feel an obligation as a citizen, we all need to live together, you know?",statement-non-opinion,statement-opinionNegative,ynQuestion
2142,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"It's true, I don't enjoy it either. But I feel an obligation as a citizen, we all need to live together, you know?",statement-non-opinion,statement-opinionNegative,ynQuestion
2143,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,I get a little worried that we're all isolating ourselves in social media silos. Sometimes it seems like people with different views don't even live in the same world.,statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2143,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,I get a little worried that we're all isolating ourselves in social media silos. Sometimes it seems like people with different views don't even live in the same world.,statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2144,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"But discussing politics is where you can get off the sickest burns, how could you pass up that opportunity?",statement-non-opinion,statement-opinionNegative,whQuestion
2144,Let's talk about politics.,I find that I don't truly enjoy discussing or debating opposing political views with others.,"But discussing politics is where you can get off the sickest burns, how could you pass up that opportunity?",statement-non-opinion,statement-opinionNegative,whQuestion
2145,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","What people care about politically tells you a lot about who they are as people, doesn't it make a lot of sense that it's a good way to figure out who you'd want to be friends with?",statement-non-opinion,statement-opinionNegative,whQuestion
2145,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","What people care about politically tells you a lot about who they are as people, doesn't it make a lot of sense that it's a good way to figure out who you'd want to be friends with?",statement-non-opinion,statement-opinionNegative,whQuestion
2146,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","I'm always amazed when I hear about romantic couples who are polar opposites politically, I can never figure out how something like that happens.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2146,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","I'm always amazed when I hear about romantic couples who are polar opposites politically, I can never figure out how something like that happens.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2147,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","If you think about it, in such a large country there statistically have to be some pretty terrible people who agree with your politics, no matter what you believe.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2147,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","If you think about it, in such a large country there statistically have to be some pretty terrible people who agree with your politics, no matter what you believe.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2148,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","Not me, it usually takes about three or four two-year terms in the House and then another six years in the Senate before I figure it out.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2148,Let's talk about politics.,"I can quickly find out if I like someone or not based on their political views, haha...","Not me, it usually takes about three or four two-year terms in the House and then another six years in the Senate before I figure it out.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2149,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","We say that politics is pretty bitter nowadays, but have you ever looked at the kinds of things people said about each other in the post-Revolutionary era?",statement-non-opinion,statement-opinionNegative,ynQuestion
2149,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","We say that politics is pretty bitter nowadays, but have you ever looked at the kinds of things people said about each other in the post-Revolutionary era?",statement-non-opinion,statement-opinionNegative,ynQuestion
2150,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.",What do you think it is about politics that makes it so stressful to talk about?,statement-non-opinion,statement-opinionNegative,openQuestion
2150,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.",What do you think it is about politics that makes it so stressful to talk about?,statement-non-opinion,statement-opinionNegative,openQuestion
2151,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","When I think about history I don't really think about politics much, I tend to think about the wars. I saw this really cool show about D-Day the other day.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2151,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","When I think about history I don't really think about politics much, I tend to think about the wars. I saw this really cool show about D-Day the other day.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2152,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","Hey, if everybody thought that way then only freaks and weirdos would deal with politics. Wait, maybe that explains some things.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2152,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","Hey, if everybody thought that way then only freaks and weirdos would deal with politics. Wait, maybe that explains some things.",statement-non-opinion,statement-opinionNegative,statement-opinionNegative
2153,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Talking politics can be a sure way to ruin a friendship or get into a heated argument very quickly.,statement-non-opinion,statement-opinionPositive,statement-opinionNegative
2153,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Talking politics can be a sure way to ruin a friendship or get into a heated argument very quickly.,statement-non-opinion,statement-opinionPositive,statement-opinionNegative
2154,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,You must have been a very intelligent 7th grader.  Some people don't learn to be discreet about politics until much later in life.,statement-non-opinion,statement-opinionPositive,statement-non-opinion
2154,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,You must have been a very intelligent 7th grader.  Some people don't learn to be discreet about politics until much later in life.,statement-non-opinion,statement-opinionPositive,statement-non-opinion
2155,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Did you go to school with very politically minded students?  7th graders nowadays seem so much more aware of the world.,statement-non-opinion,statement-opinionPositive,ynQuestion
